Relative_Path,Size_Bytes,SHA256
outputs/step_13_age_confirmed_20260730/figures/F03_GERIATRIC_DOMAIN_MATRIX_DATA.csv,1809,218c32bb0c74f4ea131f447a366c716bad7711d613ad5ea64d5511346aa69b2e
outputs/step_13_age_confirmed_20260730/figures/F04_COREVEN_COVERAGE.svg,4432,b038c04e72817abcdcfa2dcd77f3be8783cddc9dd2ebdd0143685ceb2bfe7287
outputs/step_13_age_confirmed_20260730/figures/F04_COREVEN_COVERAGE_DATA.csv,763,b9d00a9ffab937e8dc820471903455a0499adf7532ee572e44488b391be1ded0
outputs/step_13_age_confirmed_20260730/figures/F05_OUTPUTS_COVERAGE.svg,4903,cb5e0bfb509c1e8a3f96c7b4bfcc79525ff5a94a1d9e5c0a9a33b486a6943cf7
outputs/step_13_age_confirmed_20260730/figures/F05_OUTPUTS_COVERAGE_DATA.csv,988,10ba1482bd4590bc7e18d2d6d809d19c155d3aa620585b742471f4e545cdf721
outputs/step_13_age_confirmed_20260730/figures/F06_TEMPORAL_DESCRIPTIONS.svg,3520,5e49972e2331da9add98550010f50c1031abd677e78cca968c36251952ebb150
outputs/step_13_age_confirmed_20260730/figures/F06_TEMPORAL_DESCRIPTIONS_DATA.csv,469,b24074d02dd9ebc2088f8201373dcf728fa3d2038a28088656287e6fef35e510
outputs/step_13_age_confirmed_20260730/logs/main_rerun.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/step_13_age_confirmed_20260730/qa/STEP13B_COMPLETION_STATE.json,466,cb399b6f2b7517966350af04fb231ac6f5476780614efb2e2d8d51c26a4c3460
outputs/step_13_age_confirmed_20260730/qa/STEP13B_CONTACT_FIELD_SCAN.csv,11,b305a5a45b50c249aeef142a3f2a7de95c11acfc1b11472cc3317f779f1a7713
outputs/step_13_age_confirmed_20260730/qa/STEP13B_PROHIBITED_INFERENCE_SCAN.csv,13,4e174a09e2e30a9a7108e89663c485148ffac7de3067ebcdfd145318376a9e2b
outputs/step_13_age_confirmed_20260730/qa/STEP13B_RAW_JSON_HASH_EXCEPTIONS.csv,27,6dd9a3c5d2bcebc2a1aae102e49e82a77a8ac4b54d6f0f1c1db67d0fc1d492d1
outputs/step_13_age_confirmed_20260730/qa/STEP13B_TABLE_FIGURE_RECONCILIATION.csv,301,ca36efac1436e84f38edf0441e4913e51e505eb8049a6b98416c753b31b623bc
outputs/step_13_age_confirmed_20260730/review_packages/Guoyong_Wang_Final_Result_Approval_Template.zip,12152,fd579c9f3fbd34fd8d7b19bcea32664f6fae84f7889e7bcab05f8422d64a7d98
outputs/step_13_age_confirmed_20260730/review_packages/Haojun_Liang_Wound_Outcome_Review.zip,16756,429caca40806cd5519427397e1ccb6bee019b03e58d19dfb4f1bdd940f831d47
outputs/step_13_age_confirmed_20260730/review_packages/Hui_Bi_Age_Geriatric_Review.zip,16430,1926a6412c0c0b2d00885180d2943a8be7724afefb980f5d9c072e7af87f46ee
outputs/step_13_age_confirmed_20260730/review_packages/INDEPENDENT_REPRODUCTION_INSTRUCTIONS.md,607,2cadf62481f4ae3e0a152e8227c9f8e6cf287955ee578eed1aee53d945c233fa
outputs/step_13_age_confirmed_20260730/review_packages/Jiyue_Jiang_Analysis_Implementation_Record.zip,33905,e1a4bf263fc10da1811fee97d84f5c8bbf6014caa03d0bdca030b86093d75e2d
outputs/step_13_age_confirmed_20260730/review_packages/STEP13B_INDEPENDENT_REPRODUCTION_INPUT_HASHES.csv,238,067ee48d222f564ae857e6f6a2794dd418ab6ac4c689d8e7c373d95813791478
outputs/step_13_age_confirmed_20260730/review_packages/Yu_Li_Independent_Clean_Room_Reproduction.zip,32048,d33a965bc47e71a46d9abebf051ce634fc4b53c4bc068113b0365cca3604675f
outputs/step_13_age_confirmed_20260730/review_packages/forms/GUOYONG_WANG_FINAL_RESULT_APPROVAL_TEMPLATE.md,426,eaca27949a81df57f3eb610fd147b53da4b7f39f99e74af052085426fedc05c6
outputs/step_13_age_confirmed_20260730/review_packages/forms/HAOJUN_LIANG_WOUND_OUTCOME_REVIEW.md,434,a94054cec9a95f8e8275fd8a68ea64659b28ea2306c64d3f650f48a05a6a0881
outputs/step_13_age_confirmed_20260730/review_packages/forms/HUI_BI_AGE_GERIATRIC_REVIEW.md,440,737b2da7dd5a45e913859251682039d69ce009916da33568abe363d1feb0fa1c
outputs/step_13_age_confirmed_20260730/review_packages/forms/JIYUE_JIANG_ANALYSIS_IMPLEMENTATION_RECORD.md,460,9685b614fcbc3ae54b1bbeaefa0324b63726a2a0ce795249039628c10cffc57f
outputs/step_13_age_confirmed_20260730/review_packages/forms/YU_LI_INDEPENDENT_REPRODUCTION_ATTESTATION.md,459,b50d418a9398d0b1f1aa7bf3f9045477e4c946dacace209dd02f731ac875eab0
outputs/step_13_age_confirmed_20260730/tables/T01_FLOW_AND_INPUT_QA.csv,302,8f6229e76e6f3f1f703b1700acff37cfc92e0080fa9511edf23a02d5ae949f2d
outputs/step_13_age_confirmed_20260730/tables/T02_AGE_ELIGIBILITY_THRESHOLDS.csv,2212,96cbce145d71e0b8ea2a6ca19a7a15b8ffa31a13d769dc4d2682bbe23ec4d9f2
outputs/step_13_age_confirmed_20260730/tables/T03_AGE_NUMERIC_SUMMARY.csv,207,d443da1ca7969eb9c6ebf43272265e9617c8e0c62eb202b90abf7bc0f11bcccb
outputs/step_13_age_confirmed_20260730/tables/T04_AGE_FIELD_CONFLICT_AND_UPPER_LIMIT.csv,497,eec389a5be2b8cc71bcc5e5fc0e6eeff0ceab9a8aac4816a20cb4dbda1b78204
outputs/step_13_age_confirmed_20260730/tables/T05_GERIATRIC_DOMAIN_CODES.csv,1809,218c32bb0c74f4ea131f447a366c716bad7711d613ad5ea64d5511346aa69b2e
outputs/step_13_age_confirmed_20260730/tables/T06_GERIATRIC_COMPOSITES.csv,582,fccd0c9307445fbaa49ea41b13376b602ef30b34870551f1d2a1918de1b5ca61
outputs/step_13_age_confirmed_20260730/tables/T07_COREVEN_COVERAGE.csv,763,b9d00a9ffab937e8dc820471903455a0499adf7532ee572e44488b391be1ded0
outputs/step_13_age_confirmed_20260730/tables/T08_OUTPUTS_COVERAGE.csv,988,10ba1482bd4590bc7e18d2d6d809d19c155d3aa620585b742471f4e545cdf721
outputs/step_13_age_confirmed_20260730/tables/T09_OUTCOME_COVERAGE_SCORES.csv,2206,38d53ea6c472960534bf9c9cecde74bc19bfd2515543005b2687fa50f5bdf73d
outputs/step_13_age_confirmed_20260730/tables/T10_OUTCOME_CHARACTERISTICS.csv,7449,7424f661855e665c5854cdfb684e419079d81d91f0414f51389581f69231d3fa
outputs/step_13_age_confirmed_20260730/tables/T11_TRIAL_CHARACTERISTICS.csv,13808,60920d2a2fae8ef4c2c13ea2bc0addaaac1696c255662c57052481fa58d3fd95
outputs/step_13_age_confirmed_20260730/tables/T12_STRATIFIED_DESCRIPTIONS.csv,3348,4839731d05cae09ffc680394c532a9b4162b5f57e92da598e602ac8a45a5243f
outputs/step_13_age_confirmed_20260730/tables/T13_ABSOLUTE_PERCENTAGE_POINT_DIFFERENCES.csv,1561,9d3418a6248e2d9238c1349b6556113c7c190baadc7b32325fb76dd473b15153
outputs/step_13_age_confirmed_20260730/tables/T14_RELIABILITY_SUMMARY.csv,4278,8527bb591760279ae1e76bbcf79f454ee2e884c93452e3a472bd4c0358aee0c5
outputs/step_13_age_confirmed_20260730/tables/T15_CONDITIONAL_MODULE_STATUS.csv,959,c16c7ae7e94293a3ab6cf966b87851e0dd1db5d9796c0c7740fae1fd1e14c038
project_state.yaml,84635,d77ce47b8fae782eb9ab7d8bfc605b0f30d7b7b5d21e3b6b63ef815a9518c4b5
reports/step_13_age_confirmed_20260730/STEP13B_PAYLOAD_MANIFEST.csv,8836,59997f93803b490fe4ae7869514bc6af7898436aaa1d90c9084204b4e41584f7
reports/step_13_age_confirmed_20260730/STEP13B_PAYLOAD_SHA256.txt,8577,cfa3de9e75dc22eac04f1887c18453b825febbe9367b8389c13d6cbd919e1c54
reports/step_13_age_confirmed_20260730/STEP13B_PRIMARY_ANALYSIS_EXCEPTIONS.csv,1570,0fdbe92e2f6aea7ac3c4ed03cdd1a40d9fdc4fcc0591b73d0d5994d2a5ab2e65
reports/step_13_age_confirmed_20260730/STEP13B_PRIMARY_ANALYSIS_REPORT.md,3220,c2b0cc8580a5992309fa5350a3ab2011ba7698072af266991759731faf30fa96
reports/step_13_age_confirmed_20260730/STEP13B_PRIMARY_ANALYSIS_TESTS.txt,1141,ea14dd86a8972e056278e0996eb01804abdcaa96cbcd03501264d378cc30c029
risk_register.csv,18457,4638adbc56410b121bbeeea36b94c9e0947628408e9d5b7321aca7830763d685
tests/integration/test_step08_retrieval_audit.py,8290,6428ae7193e8130f32bb0c5160e8dd6f76a9efe76ab0015e08a81a996837f2d2
tests/integration/test_step13_corrected_1218_outputs.py,5834,5346da9f271c662219c53b818b409ac95974c00acf64716a76caef4355d29050
